seed,env_mode,c_update,step,sym_var,collective_var,pairwise_dist,obs_R_A,obs_S_A,obs_I_A,obs_R_B,obs_S_B,obs_I_B,obs_R_C,obs_S_C,obs_I_C
16,isolated,C_update_on,32,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
16,isolated,C_update_on,33,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
16,isolated,C_update_on,34,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
16,isolated,C_update_on,35,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,36,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,37,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,38,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,39,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,40,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,41,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,42,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,43,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,44,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,45,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,46,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,47,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,48,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_on,49,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
16,isolated,C_update_off,0,0.000000,0.148148,1.138071,6,2,6,5,2,7,5,2,6
16,isolated,C_update_off,1,0.000000,0.592593,2.276142,7,2,6,5,2,8,5,2,6
16,isolated,C_update_off,2,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
16,isolated,C_update_off,3,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
16,isolated,C_update_off,4,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
16,isolated,C_update_off,5,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
16,isolated,C_update_off,6,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
16,isolated,C_update_off,7,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
16,isolated,C_update_off,8,0.222222,1.925926,3.686600,8,2,6,3,3,8,7,2,6
16,isolated,C_update_off,9,0.888889,1.111111,2.862402,8,2,6,5,4,8,7,2,6
16,isolated,C_update_off,10,2.000000,2.740741,4.469860,8,2,6,3,5,8,7,2,5
16,isolated,C_update_off,11,1.555556,2.962963,4.871301,8,2,6,3,5,8,7,3,4
16,isolated,C_update_off,12,1.555556,2.444444,4.507771,8,2,6,3,5,8,6,4,5
16,isolated,C_update_off,13,1.555556,2.222222,4.244833,8,2,6,3,5,8,6,4,6
16,isolated,C_update_off,14,2.000000,2.740741,4.827013,8,2,6,3,5,8,7,5,5
16,isolated,C_update_off,15,1.555556,2.222222,4.244833,8,2,6,3,5,8,6,4,6
16,isolated,C_update_off,16,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
16,isolated,C_update_off,17,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
16,isolated,C_update_off,18,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
16,isolated,C_update_off,19,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
16,isolated,C_update_off,20,1.555556,2.592593,4.570974,8,2,6,3,5,8,7,4,5
16,isolated,C_update_off,21,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
16,isolated,C_update_off,22,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
16,isolated,C_update_off,23,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
16,isolated,C_update_off,24,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
16,isolated,C_update_off,25,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
16,isolated,C_update_off,26,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
16,isolated,C_update_off,27,2.000000,2.740741,4.827013,8,2,6,3,5,8,7,5,5
16,isolated,C_update_off,28,2.888889,3.407407,5.497184,8,2,6,3,5,8,7,6,4
16,isolated,C_update_off,29,2.000000,2.740741,4.827013,8,2,6,3,5,8,7,5,5
16,isolated,C_update_off,30,2.888889,3.407407,5.497184,8,2,6,3,5,8,7,6,4
16,isolated,C_update_off,31,2.888889,3.407407,5.497184,8,2,6,3,5,8,7,6,4
16,isolated,C_update_off,32,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
16,isolated,C_update_off,33,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
16,isolated,C_update_off,34,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
16,isolated,C_update_off,35,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
16,isolated,C_update_off,36,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
16,isolated,C_update_off,37,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
16,isolated,C_update_off,38,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
16,isolated,C_update_off,39,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
16,isolated,C_update_off,40,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
16,isolated,C_update_off,41,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
16,isolated,C_update_off,42,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
16,isolated,C_update_off,43,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
16,isolated,C_update_off,44,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
16,isolated,C_update_off,45,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
16,isolated,C_update_off,46,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
16,isolated,C_update_off,47,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
16,isolated,C_update_off,48,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
16,isolated,C_update_off,49,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
17,shared,C_update_on,0,0.666667,0.222222,1.333333,6,3,6,6,2,6,6,1,6
17,shared,C_update_on,1,0.222222,0.148148,1.138071,8,1,6,8,0,7,8,0,6
17,shared,C_update_on,2,0.000000,0.074074,0.666667,8,0,6,8,0,7,8,0,6
17,shared,C_update_on,3,0.000000,0.074074,0.666667,8,0,5,8,0,6,8,0,5
17,shared,C_update_on,4,0.000000,0.518519,2.021498,8,0,6,6,0,7,6,0,8
17,shared,C_update_on,5,0.000000,0.370370,1.490712,7,0,7,5,0,8,5,0,8
17,shared,C_update_on,6,0.000000,0.074074,0.666667,6,0,8,6,0,8,5,0,8
17,shared,C_update_on,7,0.000000,0.296296,1.550094,7,0,8,6,0,8,8,0,7
17,shared,C_update_on,8,0.000000,0.148148,0.942809,8,0,7,8,0,7,7,0,6
17,shared,C_update_on,9,0.000000,0.222222,1.333333,8,0,5,8,0,6,8,0,7
17,shared,C_update_on,10,0.000000,0.296296,1.333333,8,0,7,6,0,7,6,0,7
17,shared,C_update_on,11,0.000000,0.370370,1.490712,6,0,7,4,0,8,4,0,8
17,shared,C_update_on,12,0.000000,0.148148,1.138071,6,0,8,5,0,8,5,0,7
17,shared,C_update_on,13,0.000000,0.000000,0.000000,6,0,7,6,0,7,6,0,7
17,shared,C_update_on,14,0.000000,0.074074,0.666667,7,0,7,7,0,7,7,0,6
17,shared,C_update_on,15,0.000000,0.222222,1.333333,8,0,6,8,0,7,8,0,8
17,shared,C_update_on,16,0.000000,0.000000,0.000000,8,0,8,8,0,8,8,0,8
17,shared,C_update_on,17,0.000000,0.000000,0.000000,8,0,8,8,0,8,8,0,8
17,shared,C_update_on,18,0.000000,0.148148,1.138071,8,0,8,7,0,8,7,0,7
17,shared,C_update_on,19,0.000000,0.370370,1.490712,8,0,7,6,0,8,6,0,8
17,shared,C_update_on,20,0.000000,0.074074,0.666667,6,0,8,5,0,8,5,0,8
17,shared,C_update_on,21,0.000000,0.000000,0.000000,5,0,8,5,0,8,5,0,8
17,shared,C_update_on,22,0.000000,0.074074,0.666667,5,0,8,5,0,8,5,0,7
17,shared,C_update_on,23,0.000000,0.148148,1.138071,6,0,7,5,0,7,6,0,6
17,shared,C_update_on,24,0.000000,0.074074,0.666667,7,0,6,7,0,6,7,0,5
17,shared,C_update_on,25,0.000000,0.148148,0.942809,7,0,5,7,0,5,6,0,6
17,shared,C_update_on,26,0.000000,0.074074,0.666667,8,0,6,8,0,6,8,0,7
17,shared,C_update_on,27,0.000000,0.074074,0.666667,8,0,7,7,0,7,7,0,7
17,shared,C_update_on,28,0.000000,0.370370,1.745356,7,0,7,5,0,8,5,0,7
17,shared,C_update_on,29,0.000000,0.148148,0.942809,6,0,7,5,0,8,5,0,8
17,shared,C_update_on,30,0.000000,0.074074,0.666667,7,0,8,6,0,8,6,0,8
17,shared,C_update_on,31,0.000000,0.074074,0.666667,7,0,8,7,0,8,7,0,7
17,shared,C_update_on,32,0.000000,0.074074,0.666667,8,0,7,8,0,8,8,0,7
17,shared,C_update_on,33,0.000000,0.074074,0.666667,8,0,7,8,0,7,7,0,7
17,shared,C_update_on,34,0.000000,0.000000,0.000000,7,0,7,7,0,7,7,0,7
17,shared,C_update_on,35,0.000000,0.074074,0.666667,8,0,7,8,0,8,8,0,7
17,shared,C_update_on,36,0.000000,0.148148,0.942809,8,0,7,7,0,8,7,0,8
17,shared,C_update_on,37,0.000000,0.296296,1.333333,8,0,8,6,0,8,6,0,8
17,shared,C_update_on,38,0.000000,0.222222,1.333333,6,0,8,4,0,8,5,0,8
17,shared,C_update_on,39,0.000000,0.074074,0.666667,6,0,8,6,0,8,6,0,7
17,shared,C_update_on,40,0.000000,0.148148,1.138071,6,0,7,6,0,8,5,0,7
17,shared,C_update_on,41,0.000000,0.148148,1.138071,6,0,7,6,0,8,7,0,8
17,shared,C_update_on,42,0.000000,0.000000,0.000000,7,0,8,7,0,8,7,0,8
17,shared,C_update_on,43,0.000000,0.074074,0.666667,8,0,7,8,0,8,8,0,7
17,shared,C_update_on,44,0.000000,0.222222,1.333333,8,0,7,7,0,7,6,0,7
17,shared,C_update_on,45,0.000000,0.296296,1.550094,8,0,7,6,0,8,7,0,8
17,shared,C_update_on,46,0.000000,0.370370,1.745356,8,0,8,6,0,8,6,0,7
17,shared,C_update_on,47,0.000000,0.074074,0.666667,7,0,7,7,0,8,7,0,8
17,shared,C_update_on,48,0.000000,0.000000,0.000000,8,0,7,8,0,7,8,0,7
17,shared,C_update_on,49,0.000000,0.148148,1.138071,8,0,7,8,0,8,7,0,8
17,shared,C_update_off,0,0.000000,0.000000,0.000000,6,2,6,6,2,6,6,2,6
17,shared,C_update_off,1,0.000000,0.074074,0.666667,6,2,6,6,2,7,6,2,7
17,shared,C_update_off,2,0.000000,0.000000,0.000000,8,2,7,8,2,7,8,2,7
17,shared,C_update_off,3,0.000000,0.000000,0.000000,8,2,7,8,2,7,8,2,7
17,shared,C_update_off,4,0.000000,0.074074,0.666667,8,2,7,8,2,8,8,2,8
17,shared,C_update_off,5,0.000000,0.000000,0.000000,8,2,8,8,2,8,8,2,8
17,shared,C_update_off,6,0.000000,0.074074,0.666667,8,2,8,7,2,8,7,2,8
17,shared,C_update_off,7,0.222222,0.370370,1.490712,8,2,8,6,3,8,6,3,8
17,shared,C_update_off,8,0.222222,0.148148,0.942809,6,3,8,5,4,8,5,4,8
17,shared,C_update_off,9,0.222222,0.074074,0.666667,6,4,8,6,5,8,6,5,8
17,shared,C_update_off,10,0.222222,0.222222,1.382088,7,5,8,6,4,8,6,4,7
17,shared,C_update_off,11,0.222222,0.222222,1.414214,6,4,7,5,4,8,5,5,7
17,shared,C_update_off,12,0.222222,0.148148,1.138071,7,5,7,7,5,8,7,6,8
17,shared,C_update_off,13,0.000000,0.000000,0.000000,8,6,8,8,6,8,8,6,8
17,shared,C_update_off,14,0.000000,0.296296,1.333333,8,6,8,6,6,8,6,6,8
17,shared,C_update_off,15,0.000000,0.074074,0.666667,7,6,8,6,6,8,6,6,8
17,shared,C_update_off,16,0.000000,0.000000,0.000000,7,6,8,7,6,8,7,6,8
17,shared,C_update_off,17,0.222222,0.222222,1.382088,7,6,8,6,6,8,6,5,7
17,shared,C_update_off,18,0.666667,0.370370,1.727180,8,4,7,7,5,8,7,6,8
17,shared,C_update_off,19,0.222222,0.148148,1.138071,8,5,7,8,5,8,8,4,8
17,shared,C_update_off,20,0.000000,0.000000,0.000000,8,3,8,8,3,8,8,3,8
17,shared,C_update_off,21,0.222222,0.444444,1.962117,8,2,8,6,3,8,6,2,7
17,shared,C_update_off,22,0.222222,0.444444,1.954568,7,1,7,5,0,8,5,1,7
17,shared,C_update_off,23,0.666667,0.370370,1.794111,6,0,7,5,1,7,6,2,8
17,shared,C_update_off,24,0.000000,0.074074,0.666667,7,1,8,7,1,8,7,1,7
17,shared,C_update_off,25,0.222222,0.222222,1.154701,8,2,6,8,2,6,7,3,5
17,shared,C_update_off,26,0.666667,0.296296,1.550094,8,3,5,8,4,5,8,5,6
17,shared,C_update_off,27,0.666667,0.296296,1.609476,8,5,6,8,6,7,8,7,6
17,shared,C_update_off,28,0.222222,0.814815,2.595697,8,7,6,6,8,7,5,7,8
17,shared,C_update_off,29,0.222222,0.444444,1.895186,6,7,8,4,6,8,4,6,7
17,shared,C_update_off,30,0.222222,0.222222,1.414214,6,6,7,5,6,8,6,5,8
17,shared,C_update_off,31,0.222222,0.148148,0.942809,7,4,8,7,4,8,7,3,7
17,shared,C_update_off,32,0.000000,0.074074,0.666667,8,3,7,8,3,8,8,3,7
17,shared,C_update_off,33,0.222222,0.148148,0.942809,8,3,7,8,3,7,8,4,6
17,shared,C_update_off,34,0.222222,0.148148,0.942809,8,4,6,8,4,6,8,5,7
17,shared,C_update_off,35,0.222222,0.148148,0.942809,8,5,7,8,6,8,8,6,8
17,shared,C_update_off,36,0.222222,0.148148,0.942809,8,6,8,7,5,8,7,5,8
17,shared,C_update_off,37,0.222222,0.444444,1.895186,8,4,7,6,5,8,6,4,8
17,shared,C_update_off,38,0.222222,0.296296,1.550094,6,3,8,5,4,8,4,4,8
17,shared,C_update_off,39,0.222222,0.148148,0.942809,6,3,8,6,3,8,7,4,8
17,shared,C_update_off,40,0.222222,0.370370,1.794111,8,3,7,7,3,8,6,4,7
17,shared,C_update_off,41,0.000000,0.148148,1.138071,7,3,7,7,3,8,8,3,8
17,shared,C_update_off,42,0.000000,0.074074,0.666667,8,3,8,8,3,8,7,3,8
17,shared,C_update_off,43,0.222222,0.222222,1.414214,8,3,8,7,4,8,7,3,7
17,shared,C_update_off,44,0.666667,0.518519,2.104398,8,3,7,6,4,8,7,5,8
17,shared,C_update_off,45,0.666667,0.370370,1.794111,8,5,7,8,4,8,7,3,7
17,shared,C_update_off,46,0.666667,0.370370,1.794111,8,3,7,7,4,8,8,5,8
17,shared,C_update_off,47,0.222222,0.666667,2.376799,8,5,8,6,4,8,5,5,7
17,shared,C_update_off,48,0.222222,0.370370,1.727180,6,5,7,4,6,8,5,5,7
17,shared,C_update_off,49,0.222222,0.148148,1.138071,7,5,7,7,5,8,7,4,8
17,isolated,C_update_on,0,0.888889,0.370370,1.490712,6,3,6,5,1,6,5,1,6
17,isolated,C_update_on,1,0.888889,1.185185,3.244121,8,2,6,5,0,7,5,2,5
17,isolated,C_update_on,2,0.222222,1.259259,3.361485,8,1,6,5,1,8,5,2,5
17,isolated,C_update_on,3,0.222222,1.259259,3.352761,8,2,6,5,1,8,5,1,5
17,isolated,C_update_on,4,0.666667,1.703704,3.844076,8,2,6,4,0,8,5,1,5
17,isolated,C_update_on,5,0.222222,1.555556,3.701795,8,1,6,4,1,8,5,0,5
17,isolated,C_update_on,6,0.666667,2.000000,4.160518,8,2,6,4,0,8,6,1,4
17,isolated,C_update_on,7,0.222222,1.481481,3.616064,8,1,6,5,1,8,6,0,4
17,isolated,C_update_on,8,0.888889,2.370370,4.398017,8,2,6,3,0,8,7,0,5
17,isolated,C_update_on,9,0.222222,2.148148,4.069759,8,1,6,3,0,8,7,0,5
17,isolated,C_update_on,10,0.222222,2.148148,4.069759,8,1,6,3,0,8,7,0,5
17,isolated,C_update_on,11,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,12,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,13,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,14,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,15,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,16,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,17,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,18,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,19,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,20,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,21,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,22,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,23,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,24,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,25,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,26,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,27,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,28,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,29,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,30,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,31,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,32,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,33,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,34,0.000000,2.074074,3.933126,8,0,6,3,0,8,7,0,5
17,isolated,C_update_on,35,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,36,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,37,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,38,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,39,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,40,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,41,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,42,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,43,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,44,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,45,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,46,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,47,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,48,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_on,49,0.000000,2.444444,4.426029,8,0,6,3,0,8,7,0,4
17,isolated,C_update_off,0,0.000000,0.074074,0.666667,6,2,6,5,2,6,5,2,6
17,isolated,C_update_off,1,0.000000,0.148148,1.138071,6,2,6,5,2,7,5,2,6
17,isolated,C_update_off,2,0.000000,0.740741,2.387426,8,2,6,5,2,7,5,2,6
17,isolated,C_update_off,3,0.000000,0.740741,2.387426,8,2,6,5,2,7,5,2,6
17,isolated,C_update_off,4,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
17,isolated,C_update_off,5,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
17,isolated,C_update_off,6,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
17,isolated,C_update_off,7,0.000000,0.962963,2.868517,8,2,6,5,2,8,5,2,6
17,isolated,C_update_off,8,0.222222,1.925926,3.686600,8,2,6,3,3,8,7,2,6
17,isolated,C_update_off,9,0.888889,1.111111,2.862402,8,2,6,5,4,8,7,2,6
17,isolated,C_update_off,10,2.000000,2.740741,4.469860,8,2,6,3,5,8,7,2,5
17,isolated,C_update_off,11,1.555556,2.962963,4.871301,8,2,6,3,5,8,7,3,4
17,isolated,C_update_off,12,1.555556,2.444444,4.507771,8,2,6,3,5,8,6,4,5
17,isolated,C_update_off,13,1.555556,2.222222,4.244833,8,2,6,3,5,8,6,4,6
17,isolated,C_update_off,14,2.000000,2.740741,4.827013,8,2,6,3,5,8,7,5,5
17,isolated,C_update_off,15,1.555556,2.222222,4.244833,8,2,6,3,5,8,6,4,6
17,isolated,C_update_off,16,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
17,isolated,C_update_off,17,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
17,isolated,C_update_off,18,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
17,isolated,C_update_off,19,1.555556,2.370370,4.327686,8,2,6,3,5,8,7,4,6
17,isolated,C_update_off,20,1.555556,2.592593,4.570974,8,2,6,3,5,8,7,4,5
17,isolated,C_update_off,21,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
17,isolated,C_update_off,22,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
17,isolated,C_update_off,23,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
17,isolated,C_update_off,24,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
17,isolated,C_update_off,25,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
17,isolated,C_update_off,26,2.000000,2.518519,4.599609,8,2,6,3,5,8,7,5,6
17,isolated,C_update_off,27,2.000000,2.740741,4.827013,8,2,6,3,5,8,7,5,5
17,isolated,C_update_off,28,2.888889,3.407407,5.497184,8,2,6,3,5,8,7,6,4
17,isolated,C_update_off,29,2.000000,2.740741,4.827013,8,2,6,3,5,8,7,5,5
17,isolated,C_update_off,30,2.888889,3.407407,5.497184,8,2,6,3,5,8,7,6,4
17,isolated,C_update_off,31,2.888889,3.407407,5.497184,8,2,6,3,5,8,7,6,4
17,isolated,C_update_off,32,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
17,isolated,C_update_off,33,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
17,isolated,C_update_off,34,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
17,isolated,C_update_off,35,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
17,isolated,C_update_off,36,4.666667,4.000000,5.976664,8,1,6,3,5,8,7,6,4
17,isolated,C_update_off,37,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
17,isolated,C_update_off,38,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
17,isolated,C_update_off,39,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
17,isolated,C_update_off,40,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
17,isolated,C_update_off,41,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
17,isolated,C_update_off,42,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
17,isolated,C_update_off,43,5.555556,4.296296,6.160850,8,1,6,3,6,8,7,6,4
17,isolated,C_update_off,44,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
17,isolated,C_update_off,45,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
17,isolated,C_update_off,46,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
17,isolated,C_update_off,47,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
17,isolated,C_update_off,48,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
17,isolated,C_update_off,49,4.666667,4.000000,5.891869,8,1,6,3,6,8,7,5,4
18,shared,C_update_on,0,0.666667,0.222222,1.333333,5,3,6,5,2,6,5,1,6
18,shared,C_update_on,1,0.222222,0.148148,1.138071,7,1,6,7,0,6,7,0,5
18,shared,C_update_on,2,0.000000,0.074074,0.666667,8,0,5,8,0,6,8,0,6
18,shared,C_update_on,3,0.000000,0.370370,1.490712,8,0,7,6,0,8,6,0,8
18,shared,C_update_on,4,0.000000,0.370370,1.745356,8,0,8,6,0,8,6,0,7
18,shared,C_update_on,5,0.000000,0.074074,0.666667,6,0,6,6,0,7,6,0,6
18,shared,C_update_on,6,0.000000,0.074074,0.666667,8,0,7,7,0,7,7,0,7
18,shared,C_update_on,7,0.000000,0.074074,0.666667,8,0,7,8,0,8,8,0,8
18,shared,C_update_on,8,0.000000,0.000000,0.000000,8,0,8,8,0,8,8,0,8
18,shared,C_update_on,9,0.000000,0.074074,0.666667,8,0,8,7,0,8,7,0,8
18,shared,C_update_on,10,0.000000,0.296296,1.333333,8,0,8,6,0,8,6,0,8
18,shared,C_update_on,11,0.000000,0.074074,0.666667,8,0,8,7,0,8,7,0,8
18,shared,C_update_on,12,0.000000,0.000000,0.000000,7,0,8,7,0,8,7,0,8
18,shared,C_update_on,13,0.000000,0.148148,1.138071,8,0,7,7,0,7,7,0,6
18,shared,C_update_on,14,0.000000,0.074074,0.666667,7,0,7,7,0,7,7,0,6
18,shared,C_update_on,15,0.000000,0.296296,1.550094,7,0,5,6,0,6,6,0,7
18,shared,C_update_on,16,0.000000,0.370370,1.745356,7,0,8,5,0,8,5,0,7
18,shared,C_update_on,17,0.000000,0.296296,1.550094,6,0,6,5,0,7,5,0,8
18,shared,C_update_on,18,0.000000,0.074074,0.666667,7,0,8,7,0,8,7,0,7
18,shared,C_update_on,19,0.000000,0.074074,0.666667,8,0,6,8,0,7,8,0,6
18,shared,C_update_on,20,0.000000,0.074074,0.666667,8,0,6,8,0,6,8,0,7
18,shared,C_update_on,21,0.000000,0.000000,0.000000,8,0,7,8,0,7,8,0,7
18,shared,C_update_on,22,0.000000,0.296296,1.333333,8,0,7,6,0,7,6,0,7
18,shared,C_update_on,23,0.000000,0.370370,1.490712,7,0,7,5,0,8,5,0,8
18,shared,C_update_on,24,0.000000,0.074074,0.666667,6,0,8,5,0,8,5,0,8
18,shared,C_update_on,25,0.000000,0.074074,0.666667,7,0,8,7,0,8,7,0,7
18,shared,C_update_on,26,0.000000,0.148148,0.942809,7,0,7,7,0,7,8,0,6
18,shared,C_update_on,27,0.000000,0.296296,1.550094,8,0,6,8,0,7,7,0,8
18,shared,C_update_on,28,0.000000,0.000000,0.000000,8,0,8,8,0,8,8,0,8
18,shared,C_update_on,29,0.000000,0.074074,0.666667,8,0,8,8,0,8,8,0,7
